ID,Ordinal by runoff (prefer pre-dam),LATITUDE,LONGITUDE,RiverName,Country,Ocean,"Area, 10^3 km^2","Area, km^2",Length,Max_Elev,Elev_cat,Climate_T,Climate_R,Climate_S,Climate_Cd,Q_preferPredam (km^3/yr),Q_preferPredam (m^3/s),Q,PreDam_Q,Runoff,Runoff_preferPredam,TSS,PD_TSS,SedYield,SedConc,TDS,PD_TDS,DisYield,DisConc,"Arid Q (m^3/s), prefer predam","Subarid Q (m^3/s), prefer predam","Humid Q (m^3/s), prefer predam","Wet Q (m^3/s), prefer predam",VARIABLES FOR AREA PREDCITION and other metrics,COEFFICIENTS,Predicted  area using M&S2007,Error using M&S2007,,Predicted using this method,Error using this method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,-22.93995000,14.51770000,Kuiseb,Namibia,Atlantic,17.00,17000.00,560,1500,Mountain,STr,A,D,STr-A-D,0.001,0.0316887646,0.00,,0.06,0.06,,,,,,,,,0.0316887646,,,,n,1255,0.3406473825,2.00380813236644E-005,,49.5066030801,0.0029121531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v
135,2,-21.18612000,13.62603000,Ugab,Namibia,Atlantic,33.00,33000.00,470,1500,Mountain,STr,A,D,STr-A-D,0.01,0.316887646,0.01,,0.30,0.30,,,,,,,,,0.316887646,,,,,,6.0576622639,0.0001835655,,431.649737625,0.0130802951,,,,,Appendix A2 - To calculate new coefficient k and exponent a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,3,-19.49673000,12.73844000,Hoanib,Namibia,Atlantic,18.00,18000.00,250,>1500,Mountain,STr,A,D,STr-A-D,0.01,0.316887646,0.01,,0.56,0.56,,,,,,,,,0.316887646,,,,Data points from Syvitski and Milliman 2007,,6.0576622639,0.0003365368,,431.649737625,0.023980541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,4,20.57966000,39.59273000,Wadi Sadiyah,Saudi Arabia,Red Sea,1.40,1400.00,110,,,STr,A,D,STr-A-D,0.001,0.0316887646,0.00,,0.71,0.71,,,,,,,,,0.0316887646,,,,k,0.075,0.3406473825,0.0002433196,,49.5066030801,0.0353618593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,5,25.19151000,61.77493000,Dasht,Pakistan,Arabian Sea,36.00,36000.00,420,1600,Mountain,STr,A,S,STr-A-S,0.04,1.267550584,0.04,,1.11,1.11,,,,,,,,,1.267550584,,,,a,0.8,34.2673125194,0.0009518698,,1589.8269324077,0.0441618592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,6,-30.26719000,17.26219000,Swartlinjies,South Africa,Atlantic,1.70,1700.00,80,680,Upland,STr,A,D,STr-A-D,0.002,0.0633775292,0.00,,1.18,1.18,,,,,,,,,0.0633775292,,,,,,0.810200582,0.0004765886,,95.010655046,0.0558886206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,7,-22.09580000,14.26315000,Omaruru,Namibia,Atlantic,14.00,14000.00,,>500,Upland,STr,A,D,STr-A-D,0.02,0.633775292,0.02,,1.43,1.43,,,,,,,,,0.633775292,,,,Constant to calculate discharge,,14.407630129,0.0010291164,,828.4010974419,0.059171507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,8,-28.98111000,16.71684000,Holgat,South Africa,Atlantic,1.60,1600.00,100,1300,Mountain,STr,A,D,STr-A-D,0.003,0.0950662938,0.00,,1.88,1.88,,,,,,,,,0.0950662938,,,,km^3/yr to m^3/s,31.6887646,1.3449515031,0.0008405947,,139.1171169297,0.0869481981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,9,-30.47471000,17.36006000,Spoeg,South Africa,Atlantic,1.60,1600.00,110,1100,Mountain,STr,A,D,STr-A-D,0.003,0.0950662938,0.00,,1.88,1.88,,,,,,,,,0.0950662938,,,,,,1.3449515031,0.0008405947,,139.1171169297,0.0869481981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,10,17.56964000,42.15955000,Wadi Itwad,Saudi Arabia,Red Sea,1.50,1500.00,60,2000,Mountain,STr,A,D,STr-A-D,0.003,0.0950662938,0.00,,2.00,2.00,,,,,,,,,0.0950662938,,,,Values calculated in regression - A2,,1.3449515031,0.0008966343,,139.1171169297,0.0927447446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,11,-27.75580000,113.90970000,Murchison,Australia,Indian,82.00,82000.00,780,>500,Upland,STr,A,S,STr-A-S,0.2,6.33775292,0.20,,2.44,2.44,,,,,,,,,6.33775292,,,,Arid k,0.0005,256.207920058,0.0031244868,,7222.8570354602,0.0880836224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,12,31.46688000,34.38138000,Besor,Israel,Mediterranean,3.70,3700.00,110,>500,Upland,STr,A,W,STr-A-W,0.01,0.316887646,0.01,,2.70,2.70,,,,,,,,,0.316887646,,,,Arid a,1.0633,6.0576622639,0.001637206,,431.649737625,0.1166620913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,13,12.55000000,-16.78300000,Casamance,Senegal,Atlantic,37.00,37000.00,320,57,Coastal Plain,Tr,A,S,Tr-A-S,0.1,3.16887646,0.10,,2.70,2.70,,,,,,,,,3.16887646,,,,Arid r^2,0.7205,107.7221607682,0.0029114098,,3763.5685827638,0.1017180698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,14,-21.42497400,-70.10210000,Loa,Chile,Pacific,33.00,33000.00,440,4300,High Mountain,Str,A,W,Str-A-W,0.1,3.16887646,0.10,,3.03,3.03,,,,,,,,,3.16887646,,,,Subarid k,0.0063,107.7221607682,0.0032643079,,3763.5685827638,0.1140475328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,15,36.83408700,-2.40452800,Andarax,Spain,Mediterranean,2.20,2200.00,74,2500,Mountain,Te,A,W,Te-A-W,0.01,0.316887646,0.01,,4.55,4.55,0.18,,0.08,18000.00,,,,,0.316887646,,,,Subarid a,0.9824,6.0576622639,0.0027534828,,431.649737625,0.1962044262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,16,-20.82680000,116.05740000,Fortescue,Australia,Indian,49.00,49000.00,690,1000,Mountain,STr,SA,S,STr-SA-S,0.23,7.288415858,0.23,,4.69,4.69,,,,,,,,,7.288415858,,,,Subarid r^2,0.9802,305.1159079645,0.0062268553,,8237.4618594484,0.1681114665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,17,16.20316000,52.25857000,Wadi al Jiza,Yemen,Arabian Sea,19.00,19000.00,260,>1000,Mountain,STr,A,D,STr-A-D,0.1,3.16887646,0.10,,5.26,5.26,,,,,,,,,3.16887646,,,,Humid k,0.0161,107.7221607682,0.0056695874,,3763.5685827638,0.198082557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,18,-29.67974000,17.04919000,Buffels,South Africa,Atlantic,9.70,9700.00,260,1500,Mountain,STr,A,D,STr-A-D,0.053,1.6795045238,0.05,,5.46,5.46,,,,,,,,,1.6795045238,,,,Humid a,0.9839,48.7135627065,0.0050220168,,2071.5242212365,0.2135591981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
